ogc_fid,id,collarid,holeid,anumber,companyholeid,company,maxdepth,depth,hfield,calcdip,calcazi,wkb_geometry
81921,3277092,3277092,101533ForrestaniaBSAC001,101533,BSAC001,NEWEXCO SERVICES PTY LTD,27.0,0.0,GSWA_Azi,-60.0,210.0,
81922,3277095,3277095,101533ForrestaniaBSD023,101533,BSD023,NEWEXCO SERVICES PTY LTD,415.0,0.0,GSWA_Azi,-59.700001,236.1,
81923,3277161,3277161,101533ForrestaniaLLDKN004,101533,LLDKN004,NEWEXCO SERVICES PTY LTD,1282.7,0.0,GSWA_Azi,-79.860001,270.197,
81925,3277165,3277165,101533ForrestaniaNID007,101533,NID007,NEWEXCO SERVICES PTY LTD,256.0,0.0,GSWA_Azi,-60.0,269.596,
81927,3277176,3277176,101533ForrestaniaNMD156W1,101533,NMD156W1,NEWEXCO SERVICES PTY LTD,689.95001,0.0,GSWA_Azi,-55.23,272.68,
723980,3131887,3131887,100289FORRESTANIA PROJECTFSRC046,100289,FSRC046,HANNANS REWARD LTD,250.0,50.0,GSWA_Azi,-61.200001,332.0,
325767,3131889,3131889,100289FORRESTANIA PROJECTFSRC048,100289,FSRC048,HANNANS REWARD LTD,210.0,50.0,GSWA_Azi,-61.299999,152.0,
496716,3277155,3277155,101533ForrestaniaBD050,101533,BD050,NEWEXCO SERVICES PTY LTD,277.10001,0.0,GSWA_Azi,-60.709999,272.5,
496717,3277166,3277166,101533ForrestaniaNMD140,101533,NMD140,NEWEXCO SERVICES PTY LTD,681.5,0.0,GSWA_Azi,-74.93,273.72,
496719,3277173,3277173,101533ForrestaniaNMD150,101533,NMD150,NEWEXCO SERVICES PTY LTD,259.88,0.0,GSWA_Azi,-52.66,271.78,
1142438,3277160,3277160,101533ForrestaniaFFD166,101533,FFD166,NEWEXCO SERVICES PTY LTD,480.70001,0.0,GSWA_Azi,-67.949997,269.877,
1017884,3277090,3277090,101533ForrestaniaBD054,101533,BD054,NEWEXCO SERVICES PTY LTD,88.0,0.0,GSWA_Azi,-74.300003,269.4,
1017885,3277100,3277100,101533ForrestaniaLAD055,101533,LAD055,NEWEXCO SERVICES PTY LTD,500.48001,0.0,GSWA_Azi,-60.200001,86.0,
