hole_ID,depth_from,depth_to,Cu_pct,Mo_pct,Ag_ppm,Au_ppm
A-11,6.1,9.14,0.02,,,
A-11,9.14,12.19,0.03,,,
A-11,12.19,15.24,0.02,,,
A-11,15.24,18.29,0.03,,,
A-11,18.29,21.34,0.02,,,
A-11,21.34,24.38,0.03,,,
A-11,24.38,27.43,0.03,,,
A-11,27.43,30.48,0.03,,,
A-11,30.48,33.53,0.03,,,
A-11,33.53,36.58,0.03,,,
A-11,36.58,39.62,0.02,,,
A-11,39.62,42.67,0.02,,,
A-11,42.67,45.72,0.02,,,
A-11,45.72,48.77,0.03,,,
A-11,48.77,51.82,0.03,,,
A-11,51.82,54.86,0.03,,,
A-11,54.86,57.91,0.03,,,
A-11,57.91,60.96,0.02,,,
A-11,60.96,64.01,0.03,,,
A-11,64.01,67.06,0.03,,,
A-11,67.06,70.1,0.02,,,
A-11,70.1,73.15,0.02,,,
A-11,73.15,76.2,0.09,,,
A-11,76.2,79.25,0.02,,,
A-11,79.25,82.3,0.03,,,
A-11,82.3,85.34,0.03,,,
A-11,85.34,88.39,0.02,,,
A-11,88.39,91.44,0.02,,,
A-11,91.44,94.49,0.03,,,
A-11,94.49,97.54,0.03,,,
A-11,97.54,100.58,0.03,,,
A-11,100.58,103.63,0.03,,,
A-11,103.63,106.68,0.02,,,
A-11,106.68,109.73,0.02,,,
A-11,109.73,112.78,0.02,,,
A-11,112.78,115.82,0.03,,,
A-11,115.82,118.87,0.03,,,
A-11,118.87,121.92,0.02,,,
A-11,121.92,124.97,0.02,,,
A-11,124.97,128.02,0.02,,,
A-11,128.02,131.06,0.01,,,
A-11,131.06,134.11,0.02,,,
A-11,134.11,137.16,0.01,,,
A-11,137.16,140.21,0.01,,,
A-11,140.21,143.26,0.02,,,
A-11,143.26,146.3,0.01,,,
A-11,146.3,149.35,0.02,,,
A-11,149.35,152.4,0.02,,,
A-11,152.4,155.45,0.03,,,
A-11,155.45,158.5,0.01,,,
A-11,158.5,161.54,0.02,,,
A-11,161.54,164.59,0.01,,,
A-11,164.59,167.64,0.01,,,
A-11,167.64,170.69,0.02,,,
A-11,170.69,173.74,0.02,,,
A-11,173.74,176.78,0.01,,,
A-11,176.78,179.83,0.02,,,
A-11,179.83,182.88,0.01,,,
A-11,182.88,185.93,0.02,,,
A-11,185.93,188.98,0.01,,,
A-11,188.98,192.02,0.02,,,
A-11,192.02,195.07,0.03,,,
A-11,195.07,198.12,0.02,,,
A-11,198.12,201.17,0.02,,,
A-11,201.17,204.22,0.02,,,
A-11,204.22,207.26,0.02,,,
A-11,207.26,210.31,0.02,,,
A-11,210.31,213.36,0.01,,,
A-11,213.36,216.41,0.02,,,
A-11,216.41,219.46,0.02,,,
A-11,219.46,222.5,0.02,,,
A-11,222.5,225.55,0.02,,,
A-11,225.55,228.6,0.01,,,
A-11,228.6,231.65,0.02,,,
