hole_ID,x,y,z
A-11,550082.15,3623730.41,1350.57
AE-1,549033.67,3623351.82,1286.76
AE-1R,548963.5,3623289.45,1267.73
AE-2,549103.62,3623421.92,1307.58
AE-2R,548963.68,3623298.7,1267.21
AE-3,549102.63,3623420.07,1307.58
AE-3R,549036.8,3623347.61,1280.95
AH-1,548533.75,3623991.14,1224.99
AH-2,548533.76,3623990.84,1224.99
AH-3,548516.63,3624116.21,1275.19
AH-4,548606.89,3623597.49,1295.74
AH-5,548921.98,3623408.76,1254.72
AH-6,548921.37,3623407.17,1254.93
AR-1,548788.76,3625227.53,1391.41
AR-1a,549036.21,3625331.52,1391.41
AR-2,549769.03,3624922.99,1414.27
AR-3,551064.18,3624284.31,1354.84
AR-4,550107.15,3622796.25,1421.89
AR-4a,550122.22,3622817.7,1423.42
B-20,548729.02,3623955.54,1242.37
B-24,548290.58,3624310.31,1280.77
B-29,548418.44,3624127.32,1304.15
B-30,548431.92,3624351.33,1321.62
B24-1R,548244.2,3624331.21,1279.03
B24-2R,548248.58,3624328.45,1279.23
B24-3R,548251.75,3624329.4,1279.37
BG-1R,549127.81,3623277.08,1294.5
BM-1,547749.41,3623980.71,1168.91
BM-10,547696.86,3623999.49,1168.91
BM-11,547702.23,3624013.23,1168.91
BM-12,547668.22,3624000.48,1168.91
BM-13,547699.57,3624003.47,1168.91
BM-14,547666.94,3624007.47,1168.91
BM-15,547667.81,3624013.57,1168.91
BM-16,547671.7,3624022.74,1168.91
BM-17,547677.09,3624033.75,1168.91
BM-18,547681.07,3624070.95,1168.91
BM-19,547679.76,3624081.3,1168.91
BM-2,547738.33,3623994.33,1168.91
BM-20,547704.86,3623989.8,1168.91
BM-21,547675.95,3623985.92,1168.91
BM-22,547675.95,3623985.92,1168.91
BM-23,547666.99,3624001.08,1168.91
BM-24,547666.03,3624008.38,1168.91
BM-3,547753.56,3623994.75,1168.91
BM-4,547723.1,3623995.12,1168.91
BM-5,547718.58,3623988.38,1168.91
BM-6,547724.09,3623985.38,1168.91
BM-7,547721.52,3624000.9,1168.91
BM-8,547718.75,3624005.44,1168.91
BM-9,547715.06,3624009.68,1168.91
BM-A,547754.07,3623969.16,1138.43
BM-B,547734.66,3623995.52,1138.43
BM-C,547717.09,3624021.88,1138.43
BM-D,547670.17,3623984.96,1138.43
BM-E,547662.07,3624008.04,1138.43
CA-1,548523.43,3623755.28,1159.46
CA-1R,548407.34,3624117.72,1304.13
CA-2,548208.19,3624328.55,1267.36
CA-2R,548405.87,3624118.1,1304.13
CA-3,547908.1,3624176.92,1180.49
CA-3R,548442.34,3624185.44,1304.53
CA-4R,548408.73,3624118.2,1304.13
CA-5R,548410.92,3624119.26,1304.11
CA-6R,548409.41,3624118.48,1304.27
CA-7R,548408.24,3624071.67,1305.49
CA-8R,548412.41,3624081.08,1305.14
CA-9R,548435.14,3624090.43,1292.89
CA28_PLUS_3A,548680.22,3624194.36,1244
CA28_PLUS_4,548677.51,3624192.33,1244.04
CA28_PLUS_5,548676.79,3624196.21,1244.05
CA28_PLUS_8,548674.06,3624193.34,1244.08
CA30_PLUS_3,548679.43,3624193.43,1244.02
CA30_PLUS_4,548677.51,3624192.33,1244.04
CA30_PLUS_5,548676.79,3624196.21,1244.05
CA30_PLUS_6,548672.23,3624189.3,1244.26
CA32_PLUS_3,548679.43,3624193.43,1244.02
CA32_PLUS_4,548677.51,3624192.33,1244.04
CA32_PLUS_5,548676.79,3624196.21,1244.05
CA32_PLUS_6,548677.39,3624196.02,1244.04
CA32_PLUS_8,548647.76,3624188.47,1249.68
CA34_PLUS_2,548620.48,3624063.4,1217.17
CA34_PLUS_3,548619.85,3624063.92,1217.19
CA34_PLUS_4,548618.59,3624064.95,1217.31
CA34_PLUS_4A,548618.59,3624064.95,1217.31
CA34_PLUS_7,548643.88,3624183.24,1249.4
CA35_5_PLUS_1,548622.13,3624062.04,1217.19
CA35_5_PLUS_2,548620.48,3624063.4,1217.17
CA35_5_PLUS_3,548619.85,3624063.92,1217.19
CA35_5_PLUS_4,548618.59,3624064.95,1217.31
CA36_5_PLUS_2,548620.48,3624063.4,1217.17
CA36_5_PLUS_3,548619.85,3624063.92,1217.19
CA36_5_PLUS_4,548618.59,3624064.95,1217.31
CA36_PLUS_7,548643.88,3624183.24,1249.4
CA36_PLUS_8,548647.76,3624188.47,1249.68
CA37_5_PLUS_1,548622.13,3624062.04,1217.19
CA37_5_PLUS_1A,548622.13,3624062.04,1217.19
CA37_5_PLUS_2,548620.48,3624063.4,1217.17
CA37_5_PLUS_3,548619.85,3624063.92,1217.19
CA38_PLUS_6,548531.77,3624147.56,1277.27
CA38_PLUS_7,548528.25,3624147.37,1277.29
CA40_PLUS_6,548531.77,3624147.56,1277.27
CA40_PLUS_7,548528.25,3624147.37,1277.29
CA40_PLUS_8,548528.81,3624148.45,1277.36
CATECH,548453.89,3624067.79,1277.52
CB-1,548144.68,3623883.5,1279.71
CC-01,548225.92,3624692.6,1291.99
CC-02,548434.94,3624702.29,1345.69
CC-03,548059.09,3625622.38,1385.01
CC-04,548314.29,3624549.02,1356.36
CC-05,548042.59,3625009.93,1304.85
CC-06,547696.88,3624809.2,1285.65
CC-07,549351.2,3624983.68,1399.03
CC-08,546363,3625266.83,1336.55
CC-09,546920.05,3625585.99,1362.46
CC-1,548430.56,3623726.62,1153.01
CC-2,548537.08,3624149.89,1276.5
CC-3,548536.47,3624149.58,1276.5
CG1,548215.74,3624827.58,1238.89
CG2,548089.47,3624759.16,1229.03
CG3,548215.74,3624827.58,1238.89
CG4,548071.38,3624722.06,1223.49
CG5,548187.28,3624652.95,1287.98
CG6,548242.63,3624748.41,1287.22
CK-B,548423.25,3623739.88,1153.08
CK-C,548435.83,3623750.52,1152.93
CK-D,548448.7,3623760.69,1154.12
CK-E,548388.45,3623696.18,1153.02
CK32_PLUS_0,548408.63,3623719.33,1152.68
CK33_PLUS_1Y,548516.12,3623755.53,1161.6
CK33_PLUS_3Y,548516.12,3623755.53,1161.6
CK34_5-50,548398.03,3623707.65,1152.73
CK35_5-50,548397.82,3623708.07,1152.76
CK35_PLUS_3Y,548516.12,3623755.53,1161.6
CK36_PLUS_0,548411.15,3623715.16,1152.93
CK37_2_PLUS_50,548421.92,3623726.88,1152.83
CK37_PLUS_100,548430.59,3623745.1,1153.98
CK37_PLUS_50,548421.92,3623726.88,1152.83
CP1,548083.22,3624493.91,1271.7
CP2,548083.22,3624493.91,1271.7
CP3,548094.53,3624587.32,1255.61
CP4,548151.88,3624573.98,1273.96
CP5,547988,3624580.25,1209.14
CP6,548129.45,3624531.62,1264.92
CS-1,543027.17,3620627.94,1053.33
CU-1,548732.39,3623799,1169.52
CU-10,547860.49,3623994.68,1175.62
CU-11,548944.27,3622729.53,1321.62
CU-12,549223.86,3623281.59,1306.68
CU-2,548892.28,3623570.86,1250.9
CU-3,547429.26,3623860.59,1155.19
CU-4,548778.42,3623406.99,1258.52
CU-5,549179.34,3623288.59,1288.39
CU-6,548970.3,3623141.64,1288.39
CU-7,549032.28,3623355.37,1287.78
CU-8,548673.17,3623461.88,1275.59
CU-9,549025.27,3623818.93,1191.47
D-13,549294.48,3623405.57,1370.99
D-26,549568.43,3623201.18,1414.43
D-5,549435.66,3623350.62,1368.55
D-8,549419.12,3623207.32,1375.26
D-9,549391.82,3623463,1370.08
DB1,548733.57,3623629.78,1217.16
DB2,548817.44,3623664.16,1220.82
DB3,548796.89,3623583.42,1212.04
DB4,548760.76,3623759.56,1171.65
EH1,547676.58,3624098.94,1168.91
EH10,547671.7,3624022.89,1168.91
EH11,547679.85,3624070.63,1168.91
EH12,547731.42,3624020.01,1168.91
EH13,547734.33,3623999.48,1168.91
EH14,547761.83,3623989.64,1168.91
EH15,547758.66,3623965.7,1168.91
EH16,547760.79,3623966.47,1168.91
EH17,547753.8,3623964.13,1168.91
EH18,547763.57,3623961.93,1168.91
EH19,547761.41,3623964.8,1168.91
EH2,547743.69,3624049.82,1168.91
EH20,547671.39,3624022.74,1168.91
EH21,547678.91,3624074.89,1168.91
EH22,547681.03,3624075.52,1168.91
EH23,547684.45,3624066.71,1168.91
EH24,547734.09,3623991.71,1168.91
EH25,547802.66,3623910.75,1138.43
EH26,547796.47,3623903.4,1138.43
EH3,547665.84,3623993.76,1168.91
EH4,547704.88,3624045.09,1138.43
EH5,547755.06,3623958.81,1138.43
EH6,547786.08,3623927.53,1168.91
EH7,547773.91,3623944.65,1168.91
EH8,547779.21,3623948.5,1168.91
EH9,547798.79,3623936.92,1168.91
EN-1,548242.58,3623598.01,1202.44
FCD-22-001,547840.65,3624743.64,1235.94
FCD-22-003,548098.28,3624489.6,1271.35
FCD-22-005,548404.99,3624126.44,1303.43
FCD-22-009,548856.27,3622947.05,1366.55
FCD-22-010,547778.66,3624696.29,1250.02
FCD-22-011,547740.37,3624782.15,1281.11
FCD-22-012,548065.52,3624720.76,1225.31
FCD-22-013,548062.3,3624721.66,1225.33
FCD-22-014,548058.72,3624725.14,1225.25
FCD-22-015,548142.98,3624816.11,1235.19
FCD-22-016,548155.43,3624581.75,1275.8
FCD-22-017,548153.34,3624582.47,1275.72
FCD-22-018,548157.46,3624585.55,1276.02
FCD-22-019,547070.8,3625879.05,1386.55
FCD-23-021,548429.09,3624688.34,1348.26
FCD-23-022,548428.68,3624688.93,1348.27
FCD-23-023,548348.09,3623962.17,1304.74
FCD-23-024,548231.54,3623764.2,1186.12
FCD-23-025,548230.11,3623761.75,1185.91
FCD-23-027,548346.88,3623967.11,1304.51
FCD-23-028,548059.24,3624732.3,1225.31
FCD-23-035,548377.95,3624464.89,1325.64
FCD-23-037,549088.05,3622920.23,1373.9
G1,547699.39,3624814.36,1282.95
G10,547824.23,3624862.72,1232.92
G11,547841.39,3624819.29,1229.57
G12,547811.19,3624905.84,1237.95
G13,547676.16,3624694.8,1255.78
G2,547739.47,3624776.66,1280.38
G3,547685.12,3624778.27,1278.19
G4,547700.6,3624832.84,1283.79
G5,547684.08,3624768.95,1279.03
G6,547703.23,3624833.44,1283.49
G7,547739.5,3624776.59,1280.48
