hole_ID,depth_from,to_depth,rock unit,rock code,rock class
A-11,0,161.54,Monzogranite porphyry,mgp,Intrusive
A-11,161.54,173.74,Porphyritic quartz diorite,pqd,Intrusive
A-11,173.74,283.46,Monzogranite porphyry,mgp,Intrusive
A-11,283.46,441.96,Porphyritic quartz diorite,pqd,Intrusive
AE-1,0,204.37,Granodiorite,gd,Intrusive
AE-1,204.37,239.88,Hydrothermally cemented breccia,Bxh,Alt-Min Breccia
AE-1,239.88,249.63,Igneous cemented breccia,Bxi,Breccia
AE-1,249.63,263.35,Hydrothermally cemented breccia,Bxh,Alt-Min Breccia
AE-1,263.35,264.88,Porphyritic quartz diorite,pqd,Intrusive
AE-1,264.88,295.66,Hydrothermally cemented breccia,Bxh,Alt-Min Breccia
AE-1,295.66,319.43,Granodiorite,gd,Intrusive
AE-1,319.43,329.34,Igneous cemented breccia,Bxi,Breccia
AE-1,329.34,350.37,Granodiorite,gd,Intrusive
AE-1,350.37,351.43,Granodiorite porphyry undiff,gdp,Intrusive
AE-1,351.43,382.37,Granodiorite,gd,Intrusive
AE-1,382.37,388.92,Granodiorite porphyry undiff,gdp,Intrusive
AE-1,388.92,610.21,Granodiorite,gd,Intrusive
AE-1R,0,97.54,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,97.54,117.35,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,117.35,121.31,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,121.31,126.8,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,126.8,128.63,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,128.63,131.98,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,131.98,146.3,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,146.3,149.35,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,149.35,170.69,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,170.69,174.65,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,174.65,186.23,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,186.23,188.98,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,188.98,198.12,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,198.12,217.32,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,217.32,235,Granodiorite porphyry undiff,gdp,Intrusive
AE-1R,235,248.11,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,248.11,292.46,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,292.46,296.11,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,296.11,298.4,Porphyritic quartz diorite,pqd,Intrusive
AE-1R,298.4,304.8,Granodiorite porphyry undiff,gdp,Intrusive
AE-2,0,224.33,Granodiorite,gd,Intrusive
AE-2,224.33,239.88,Granodiorite porphyry 2,gdp2,Intrusive
AE-2,239.88,276.15,Granodiorite,gd,Intrusive
AE-2,276.15,297.33,Hydrothermally cemented breccia,Bxh,Alt-Min Breccia
AE-2,297.33,370.64,Granodiorite,gd,Intrusive
