hole_ID,depth,azimuth,dip
A-11,441.96,360,-90
AE-1,0,51.23,-86.33
AE-1,15.24,53.48,-86.51
AE-1,30.48,50.43,-86.72
AE-1,45.72,48.76,-86.31
AE-1,60.96,46.32,-85.93
AE-1,76.2,45.76,-86.17
AE-1,91.44,44.01,-86.68
AE-1,106.68,43.76,-86.64
AE-1,121.92,41.61,-86.01
AE-1,137.16,40.05,-86.15
AE-1,152.4,38.28,-86.37
AE-1,167.64,41.42,-86.12
AE-1,182.88,39.82,-86.01
AE-1,198.12,36.47,-86.22
AE-1,213.36,35.4,-86.44
AE-1,228.6,35.53,-87.22
AE-1,243.84,35.32,-87.32
AE-1,259.08,42.01,-87.08
AE-1,274.32,45.62,-86.3
AE-1,289.56,45.22,-87.15
AE-1,304.8,47.07,-87.29
AE-1,320.04,48.2,-86.64
AE-1,335.28,48.1,-86.79
AE-1,350.52,47.6,-86.98
AE-1,365.76,45.32,-87.81
AE-1,381,42.65,-87.91
AE-1,396.24,46.33,-87.01
AE-1,411.48,42.85,-87.07
AE-1,426.72,39.17,-87.06
AE-1,441.96,40.49,-87.1
AE-1,457.2,47.65,-87.09
AE-1,472.44,52.7,-87.16
AE-1,487.68,54.73,-86.88
AE-1,502.92,47.65,-87.03
AE-1,518.16,45.32,-87.52
AE-1,533.4,42.12,-87.5
AE-1,545.59,39.09,-87.69
AE-1,609.6,37,-87.5
AE-1R,0,336,-60
AE-1R,304.8,336,-60
AE-2,0,240.05,-67.32
AE-2,15.24,242.54,-67.86
AE-2,30.48,242.95,-67.95
AE-2,45.72,243.68,-68.83
AE-2,60.96,239.92,-68.38
AE-2,76.2,242.31,-69.74
AE-2,91.44,241.82,-69.7
AE-2,106.68,243.21,-69.72
AE-2,121.92,240.73,-69.18
AE-2,137.16,244.4,-68.6
AE-2,152.4,242.24,-68.55
AE-2,167.64,241.92,-68.57
AE-2,182.88,244.38,-69.98
AE-2,198.12,242.02,-68.82
AE-2,213.36,243.72,-70.01
AE-2,228.6,243.38,-68.58
AE-2,243.84,243.09,-68.53
AE-2,259.08,243.45,-68.37
AE-2,274.32,241.71,-69.49
AE-2,289.56,242.02,-69.86
AE-2,304.8,243.31,-68.88
AE-2,320.04,245.91,-69.53
AE-2,335.28,241.99,-69.13
AE-2,350.52,241.91,-69.6
AE-2,365.76,244.45,-70.41
AE-2,381,242.4,-69.46
AE-2,396.24,244.01,-69.11
AE-2,411.48,243.98,-69.15
AE-2,426.72,243.97,-69.2
AE-2,441.96,244.03,-69.22
AE-2,449.89,243,-70
AE-2,480.37,243,-70
AE-2,510.85,243,-70
AE-2,541.33,244.5,-70.5
AE-2R,0,21,-70
AE-2R,304.8,21,-70
AE-3,0,233.31,-79.96
AE-3,15.24,234.5,-80.63
AE-3,30.48,233.51,-80.93
AE-3,45.72,233.71,-80.8
AE-3,60.96,234.76,-80.49
AE-3,76.2,233.99,-80.8
AE-3,91.44,233.87,-80.8
AE-3,106.68,230.67,-81.13
AE-3,121.92,228.76,-81.37
AE-3,137.16,233.96,-80.86
AE-3,152.4,232.45,-81.19
AE-3,167.64,230.76,-81.06
AE-3,182.88,230.66,-81.32
AE-3,198.12,232.98,-81.46
AE-3,213.36,231.37,-81.44
AE-3,228.6,230.81,-81.28
AE-3,243.84,234.87,-81.46
AE-3,259.08,235.76,-81.28
AE-3,274.32,235.78,-81.46
AE-3,289.56,235.87,-81.65
AE-3,304.8,238.99,-81.9
AE-3,320.04,237.3,-81.85
AE-3,335.28,235.78,-81.58
AE-3,350.52,233.67,-81.39
AE-3,365.76,233.26,-81.27
AE-3,381,231.16,-81.5
AE-3,396.24,233.58,-81.41
AE-3,411.48,231.82,-81.69
AE-3,426.72,232.59,-81.54
AE-3,556.26,242,-82.75
AE-3R,0,350,-50
AE-3R,228.6,350,-50
AH-1,0,306.5,-40
AH-1,60.96,307,-39
AH-1,91.44,307,-39
AH-1,121.92,304,-36
AH-1,152.4,304,-36
AH-1,182.88,306,-35
AH-1,199.64,308,-35
AH-1,216.41,306,-33
AH-1,217.63,308,-33
AH-2,0,307,-58
AH-2,100.58,309,-56
AH-2,131.06,309,-55
AH-2,161.54,308,-55
AH-2,192.02,308,-55
AH-2,222.5,308,-55
AH-2,252.98,308,-55
AH-2,265.18,308,-54
AH-2,283.46,308,-54
AH-2,306.32,307,-53
AH-2,307.85,308,-53
AH-3,0,228,-65
AH-3,8.23,228,-65
AH-3,23.47,228,-65
AH-3,38.71,228,-64
AH-3,53.95,228,-64
AH-3,69.19,228,-64
AH-3,84.43,228,-64
AH-3,99.67,228,-64
AH-3,114.91,228,-64
AH-3,130.15,229,-63
AH-3,145.39,227,-63
AH-3,160.63,228,-62
AH-3,175.87,228,-62
AH-3,191.11,228,-62
AH-3,206.35,214,-62
AH-3,221.59,232,-62
AH-3,236.83,232,-62
AH-3,252.07,235,-61
AH-3,252.98,235,-61
AH-4,0,83,-59
AH-4,30.78,88,-64
AH-4,61.26,89,-64
AH-4,91.74,89,-65
AH-4,122.23,89,-61
AH-4,243.84,82,-53
AH-4,304.5,77,-53
AH-4,335.28,69,-55
AH-4,338.63,69,-55
AH-5,0,125,-55
AH-5,24.69,127,-55
AH-5,56.69,130,-56
AH-5,84.12,129,-55
AH-5,116.13,127,-53
AH-5,146.61,129,-53
AH-5,177.09,129,-52
AH-5,207.57,125,-50
AH-5,238.05,127,-49
AH-6,0,101,-55
AH-6,29.26,102,-56
AH-6,59.74,103,-54
AH-6,90.22,101,-54
AH-6,120.7,100,-52
AH-6,151.18,104,-52
AH-6,181.66,101,-51
AH-6,212.14,102,-50
AH-6,213.97,102,-50
AR-1,0,360,-90
AR-1a,0,360,-90
AR-2,0,360,-90
AR-3,0,360,-90
AR-4,0,360,-90
AR-4a,0,360,-90
B-20,0,0,-90
B-20,152.4,210,-89
B-20,472.44,233,-87
B-20,609.6,34,-87
B-20,762,188,-85
B-20,914.4,356,-79
B-20,1062.23,43,-76
B-20,1068.02,43,-76
B-24,0,0,-90
B-24,76.2,0,-90
B-24,152.4,0,-88
B-24,304.8,0,-88
B-24,381,0,-88
B-24,457.2,0,-87
B-24,533.4,335,-87
B-24,609.6,22,-84
B-24,685.8,22,-84
B-24,762,41,-80
B-24,838.2,41,-80
B-24,914.4,54,-77
B-24,979.93,54,-77
B-24,1045.47,60,-73
B-24,1053.09,60,-73
B-29,0,0,-90
B-29,152.4,0,-90
B-29,304.8,0,-90
B-29,381,0,-90
B-29,457.2,0,-87
B-29,533.4,0,-87
B-29,609.6,23,-87
B-29,685.8,23,-87
B-29,762,215,-88
B-29,838.2,215,-88
B-29,914.4,347,-83
B-29,960.12,347,-83
B-29,1005.84,235,-73
B-29,1040.89,235,-73
B-29,1075.95,244,-72
B-29,1090.88,244,-72
B-30,0,0,-90
B-30,76.2,0,-90
B-30,152.4,0,-89
B-30,228.6,0,-89
B-30,304.8,0,-89
B-30,381,0,-89
B-30,457.2,112,-89
B-30,533.4,112,-88
B-30,609.6,156,-88
B-30,685.8,156,-88
B-30,762,185,-87
B-30,827.53,185,-87
B-30,891.54,186,-84
B-30,900.38,186,-84
B24-1R,0,69,-40
B24-1R,121.92,69,-40
B24-2R,0,89,-35
B24-2R,121.92,89,-35
B24-3R,0,120,-55
B24-3R,97.54,120,-55
BG-1R,0,30,-30
BG-1R,243.84,30,-30
BM-1,10.67,54,0
BM-10,41.76,49,0
BM-11,28.04,48,0
BM-12,60.66,57,0
BM-13,12.19,322,0
