hole_ID,depth_from,depth_to,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_ppm,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,La_ppm,Li_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
BD048,142.50999,143.50999,,,22,0.005,,,,,,,60,512,,134,,,,,,,,,,,,,169,,,0.014,0.013,,,,,,,,,,,,,,,,,,359,
BD048,143.50999,143.72,,,9,0.01,,,,,,,47,199,,70,,,,,,,,,,,,,126,,,0.006,0.007,,,,,,,,,,,,,,,,,,43,
BD048,143.72,144.09,,,26,0.003,,,,,,,37,400,,274,,,,,,,,,,,,,123,,,0.007,0.012,,,,,,,,,,,,,,,,,,98,
BD048,144.09,144.38,,,7,0.001,,,,,,,13,39,,53,,,,,,,,,,,,,43,,,0.001,0,,,,,,,,,,,,,,,,,,89,
BD048,144.38,145,,,5,0.002,,,,,,,10,33,,41,,,,,,,,,,,,,23,,,0.001,0,,,,,,,,,,,,,,,,,,99,
BD048,145,146,,,59,0.003,,,,,,,42,353,,93,,,,,,,,,,,,,139,,,0.008,0.008,,,,,,,,,,,,,,,,,,126,
BD048,146,147,,,25,0.003,,,,,,,27,214,,87,,,,,,,,,,,,,90,,,0.006,0.006,,,,,,,,,,,,,,,,,,135,
BD048,147,148,,,13,0.002,,,,,,,28,165,,80,,,,,,,,,,,,,84,,,0.005,0,,,,,,,,,,,,,,,,,,135,
BD048,158,159,,,32,0.009,,,,,,,40,347,,83,,,,,,,,,,,,,114,,,0.008,0.013,,,,,,,,,,,,,,,,,,162,
BD048,159,160,,,18,0.004,,,,,,,37,262,,99,,,,,,,,,,,,,105,,,0.008,0.008,,,,,,,,,,,,,,,,,,148,
