hole_ID,x,y,z
MP20-001,438698,7003094,1311
TRC20-001,442065.26,7003666.75,1546.98
TRC20-002,442071,7003663,1547
TRC20-003,442071,7003663,1547
TRC20-004,442071,7003663,1547
TRC20-005,442071,7003663,1547
TRC20-006,442049,7003678,1545
TRC20-007,441653,7004472,1427
TS001,441888.14,7004051.35,1532.57
TS002,441942.15,7003966.21,1539.31
TS003,441826.15,7004181.9,1527.04
TS004,441983.46,7003850.58,1526.92
TS005,441796.11,7004298.67,1516
TS006,442042.2,7003735.71,1535
TS007,441770.25,7004421.49,1489.24
TS008,442078.67,7003627.15,1556.18
TS009,441738.41,7004542.21,1472.06
TS010,441876.74,7003935.82,1507.69
TS011,441724.92,7004654.02,1449.01
TS012,442146.28,7003725.58,1549.96
TS013,441649.76,7004637.13,1426.2
TS014,441481.25,7004894.07,1421.59
TS015,442123.52,7003648.37,1548.94
TS016,441835.85,7003915.62,1487.95
TS017,442013.02,7003727.99,1527.66
TS018,442049.3,7003677.7,1544.59
TS019,441814.21,7003972.79,1484.08
TS020,442057.53,7003647,1554.52
TS021,441763.13,7004018.14,1476.79
TS022,441889.85,7003805.98,1494.15
TS023,441763.13,7004018.14,1476.79
TS023A,441763.13,7004018.14,1476.79
TS024,441889.85,7003805.98,1494.15
TS025,441685.15,7004117.52,1448.53
TS026,441815.13,7003908.44,1478.68
TS027,441627.82,7004222.04,1432.74
TS028,441606.68,7004750.62,1439.5
TS028A,441606.68,7004750.62,1439.5
TS029,441527.97,7004849.69,1428.6
TS030,441507.42,7004701.92,1398.26
TS031,441432.06,7005207.74,1468.48
TS031A,441432.06,7005207.74,1468.48
TS032,441304.4,7005151.84,1421.49
TS033,441181.15,7005085.83,1366.09
TS034,441521.96,7005252,1518.86
TS035,441975.3,7004319.72,1634.91
TS036,441955.36,7004378.54,1610.3
TS037,441975.3,7004319.72,1634.91
TS038,442028.89,7003601.96,1579.89
TS039,442028.89,7003601.96,1579.89
TS040,441901.31,7003688.38,1554.79
TS041,442015.62,7004270.31,1662.55
TS042,442040.5,7004216.66,1675.26
TS043,442040.5,7004216.66,1675.26
TS044,441997.33,7003588.46,1597.63
TS045,441997.33,7003588.46,1597.63
TS046,442088.21,7004101.94,1680.82
TS047,442188.8,7004215.82,1767.82
TS048,441930.06,7004433.43,1584.33
TS049,442188.8,7004215.82,1767.82
TS050,441930.06,7004433.43,1584.33
TS051,441941.06,7004303.71,1612.56
TS052,441941.06,7004303.71,1612.56
TS053,441901.29,7004353.63,1583.67
TS054,441955.76,7004244.53,1621.77
TS055,441901.29,7004353.63,1583.67
TS056,442057.57,7004127.94,1669.28
TS057,442537.14,7004310.07,1872.39
TS058,441994.47,7004268.2,1650.27
TS059,442408.39,7004251.32,1851.99
TS060,441065.87,7005036.45,1332.81
