anumber,companyholeid,companysampleid,fromdepth,todepth,Ag_PPM,Al_PPM,As_PPM,Au_PPM,Ba_PPM,Be_PPM,Bi_PPM,Ca_PPM,Cd_PPM,Ce_PPM,Co_PPM,Cr_PPM,Cs_PPM,Cu_PPM,Fe_PPM,Ga_PPM,Ge_PPM,Hf_PPM,Hg_PPM,In_PPM,La_PPM,Li_PPM,Mg_PPM,Mn_PPM,Mo_PPM,Nb_PPM,Ni_PPM,P_PPM,Pb_PPM,Pd_PPM,Pt_PPM,Rb_PPM,Re_PPM,S_PPM,Sb_PPM,Sc_PPM,Se_PPM,Sn_PPM,Sr_PPM,Ta_PPM,Te_PPM,Th_PPM,Ti_PPM,Tl_PPM,U_PPM,V_PPM,W_PPM,Y_PPM,Zn_PPM,Zr_PPM
101533,BD048,ASW69959,142.50999,143.50999,,,22.0,0.0049999999,,,,,,,60.0,512.0,,134.0,,,,,,,,,,,,,169.0,,,0.014,0.013,,,,,,,,,,,,,,,,,,359.0,
101533,BD048,ASW69960,143.50999,143.72,,,9.0,0.0099999998,,,,,,,47.0,199.0,,70.0,,,,,,,,,,,,,126.0,,,0.0060000001,0.0070000002,,,,,,,,,,,,,,,,,,43.0,
101533,BD048,ASW69961,143.72,144.09,,,26.0,0.003,,,,,,,37.0,400.0,,274.0,,,,,,,,,,,,,123.0,,,0.0070000002,0.012,,,,,,,,,,,,,,,,,,98.0,
101533,BD048,ASW69962,144.09,144.38,,,7.0,0.001,,,,,,,13.0,39.0,,53.0,,,,,,,,,,,,,43.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,89.0,
101533,BD048,ASW69963,144.38,145.0,,,5.0,0.0020000001,,,,,,,10.0,33.0,,41.0,,,,,,,,,,,,,23.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,99.0,
101533,BD048,ASW69964,145.0,146.0,,,59.0,0.003,,,,,,,42.0,353.0,,93.0,,,,,,,,,,,,,139.0,,,0.0080000004,0.0080000004,,,,,,,,,,,,,,,,,,126.0,
101533,BD048,ASW69965,146.0,147.0,,,25.0,0.003,,,,,,,27.0,214.0,,87.0,,,,,,,,,,,,,90.0,,,0.0060000001,0.0060000001,,,,,,,,,,,,,,,,,,135.0,
101533,BD048,ASW69966,147.0,148.0,,,13.0,0.0020000001,,,,,,,28.0,165.0,,80.0,,,,,,,,,,,,,84.0,,,0.0049999999,0.0,,,,,,,,,,,,,,,,,,135.0,
101533,BD048,ASW69967,158.0,159.0,,,32.0,0.0089999996,,,,,,,40.0,347.0,,83.0,,,,,,,,,,,,,114.0,,,0.0080000004,0.013,,,,,,,,,,,,,,,,,,162.0,
101533,BD048,ASW69968,159.0,160.0,,,18.0,0.0040000002,,,,,,,37.0,262.0,,99.0,,,,,,,,,,,,,105.0,,,0.0080000004,0.0080000004,,,,,,,,,,,,,,,,,,148.0,
