ogc_fid,id,holeid,companyholeid,longitude,latitude,dataset,holetype,azimuth,dip,maxdepth,anumber,company,geom,x,y,elevation
1894904,3131885,100289FORRESTANIA PROJECTFSRC044,FSRC044,119.633812697129,-32.3637700164397,,RC,332.0,-59.5,198.0,100289,HANNANS REWARD LTD,0101000020E61000005A7D216390E85D40DCEF1104902E40C0,1121.2942200297534,29552.17789483387,0.0
1898437,3131886,100289FORRESTANIA PROJECTFSRC045,FSRC045,119.637960450163,-32.3517606442274,,RC,332.0,-60.599998,198.0,100289,HANNANS REWARD LTD,0101000020E6100000DC651158D4E85D40007D277E062D40C0,1581.6948068042648,30885.218210399664,0.0
1898438,3131887,100289FORRESTANIA PROJECTFSRC046,FSRC046,119.629271625403,-32.3519730964642,,RC,332.0,-61.200001,250.0,100289,HANNANS REWARD LTD,0101000020E610000007DA7EFC45E85D405B3155740D2D40C0,617.2352584442535,30861.63601211463,0.0
1898439,3131888,100289FORRESTANIA PROJECTFSRC047,FSRC047,119.623710947399,-32.3594492481126,,RC,332.0,-59.099998,198.0,100289,HANNANS REWARD LTD,0101000020E6100000194F52E1EAE75D40929BD66E022E40C0,0.0,30031.783179142516,0.0
1898440,3131889,100289FORRESTANIA PROJECTFSRC048,FSRC048,119.629221493485,-32.3519939439876,,RC,152.0,-61.299999,210.0,100289,HANNANS REWARD LTD,0101000020E6100000561D3A2A45E85D408DE836230E2D40C0,611.6706155460605,30859.32193701703,0.0
1995791,3277153,101533ForrestaniaBD048,BD048,119.678581273349,-32.5401466567702,,DD,273.79001,-60.549999,354.73999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000912D26E06DEB5D4095EF9086234540C0,6090.606180449072,9974.370818148856,0.0
1995792,3277154,101533ForrestaniaBD049,BD049,119.679007260099,-32.5379521508144,,DD,272.45001,-60.75,283.79999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000CBF7DDDA74EB5D40C547B79DDB4440C0,6137.890709699349,10217.960979242576,0.0
1995793,3277155,101533ForrestaniaBD050,BD050,119.6783657763,-32.5346396392133,,DD,272.5,-60.709999,277.10001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000C9FB49586AEB5D407FC85A126F4440C0,6066.686008010265,10585.649766964125,0.0
1995794,3277156,101533ForrestaniaBD051,BD051,119.678591096649,-32.5401447972911,,DD,269.78,-80.18,438.60001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000B6DD59096EEB5D4023BCF776234540C0,6091.696566749576,9974.57722032881,0.0
1995795,3277157,101533ForrestaniaBD052,BD052,119.678971408407,-32.5478224837704,,DD,269.20999,-59.860001,236.60001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000BC817E4474EB5D4058E7110C1F4640C0,6133.911171886851,9122.354021125993,0.0
